brand_name,canonical_brand_name,source_type,source_name,source_url_or_doc_id,as_of_date,method_reported_or_estimated,confidence_score,notes,qsr50_rank,us_store_count_2024,systemwide_revenue_usd_billions_2024,average_unit_volume_usd_thousands,currency,geography,source_page,source_excerpt
Starbucks,Starbucks,qsr50,QSR 50 2025,https://www.qsrmagazine.com/story/top-50-fast-food-chains-ranked-2025/,2024-12-31,estimated,0.85,"Public QSR 50 2025 top-50 table for 2024 U.S. sales, AUV, and total units; QSR marks Starbucks as estimated with an asterisk.",2,16935,30.4,1800,USD,US,Top 50 chart,"Starbucks rank 2; 2024 U.S. sales 30400 million; 2024 AUV 1800 thousand; 2024 total units 16935."
Taco Bell,Taco Bell,qsr50,QSR 50 2025,https://www.qsrmagazine.com/story/top-50-fast-food-chains-ranked-2025/,2024-12-31,reported,0.95,"Public QSR 50 2025 top-50 table for 2024 U.S. sales, AUV, and total units.",4,7604,16.2,2130,USD,US,Top 50 chart,"Taco Bell rank 4; 2024 U.S. sales 16200 million; 2024 AUV 2130 thousand; 2024 total units 7604."
Raising Cane's,Raising Cane's,qsr50,QSR 50 2025,https://www.qsrmagazine.com/story/top-50-fast-food-chains-ranked-2025/,2024-12-31,reported,0.95,"Public QSR 50 2025 top-50 table for 2024 U.S. sales, AUV, and total units.",16,828,4.96,6560,USD,US,Top 50 chart,"Raising Cane's rank 16; 2024 U.S. sales 4960 million; 2024 AUV 6560 thousand; 2024 total units 828."
